Date      ;APF NO    ;APF Name                                                                                            ;No.of Bales;Qty Sold      ;Avg Price     
14-05-2022;18;J.R. Gudem - I                                                                                      ;1102;131452.2;182.97
17-05-2022;18;J.R. Gudem - I                                                                                      ;780;93428.1;181.21
18-05-2022;18;J.R. Gudem - I                                                                                      ;887;109846.9;184.41
19-05-2022;18;J.R. Gudem - I                                                                                      ;1051;130337.5;187.25
20-05-2022;18;J.R. Gudem - I                                                                                      ;1105;130579.9;182.26
21-05-2022;18;J.R. Gudem - I                                                                                      ;616;73222.3;180.32
23-05-2022;18;J.R. Gudem - I                                                                                      ;937;116354.6;184.74
24-05-2022;18;J.R. Gudem - I                                                                                      ;908;109532.5;182.89
25-05-2022;18;J.R. Gudem - I                                                                                      ;823;97489.9;183.52
26-05-2022;18;J.R. Gudem - I                                                                                      ;518;62189.3;186.01
27-05-2022;18;J.R. Gudem - I                                                                                      ;706;86722.8;185.72
28-05-2022;18;J.R. Gudem - I                                                                                      ;837;96299.4;179.8
30-05-2022;18;J.R. Gudem - I                                                                                      ;1036;116123.1;181.93
31-05-2022;18;J.R. Gudem - I                                                                                      ;926;104292.7;180.6
01-06-2022;18;J.R. Gudem - I                                                                                      ;873;103676.8;180.49
02-06-2022;18;J.R. Gudem - I                                                                                      ;948;111395.5;182.67
14-03-2022;20;Ongole - I                                                                                          ;18;2253.7;185
15-03-2022;20;Ongole - I                                                                                          ;36;4734.7;185
16-03-2022;20;Ongole - I                                                                                          ;101;13208.3;184.13
17-03-2022;20;Ongole - I                                                                                          ;255;33049.5;183.06
18-03-2022;20;Ongole - I                                                                                          ;240;30880.9;181.05
19-03-2022;20;Ongole - I                                                                                          ;434;55709.8;181.27
21-03-2022;20;Ongole - I                                                                                          ;388;50399.5;183.82
22-03-2022;20;Ongole - I                                                                                          ;348;43529.6;182.92
23-03-2022;20;Ongole - I                                                                                          ;450;59791.7;181.65
24-03-2022;20;Ongole - I                                                                                          ;553;68540.5;181.32
25-03-2022;20;Ongole - I                                                                                          ;433;56301.2;181.05
26-03-2022;20;Ongole - I                                                                                          ;545;70482.3;182.48
28-03-2022;20;Ongole - I                                                                                          ;586;77372.5;181.93
29-03-2022;20;Ongole - I                                                                                          ;641;87707.5;181.23
30-03-2022;20;Ongole - I                                                                                          ;902;118437.8;182.49
31-03-2022;20;Ongole - I                                                                                          ;522;68113;178.9
01-04-2022;20;Ongole - I                                                                                          ;519;66764.3;179.43
04-04-2022;20;Ongole - I                                                                                          ;741;98089.5;182.5
05-04-2022;20;Ongole - I                                                                                          ;637;82862;181.15
06-04-2022;20;Ongole - I                                                                                          ;708;93808.7;181.02
07-04-2022;20;Ongole - I                                                                                          ;684;85258.7;181.18
08-04-2022;20;Ongole - I                                                                                          ;600;79010.2;179.56
09-04-2022;20;Ongole - I                                                                                          ;606;78166.7;178.74
11-04-2022;20;Ongole - I                                                                                          ;564;72439.9;177.07
12-04-2022;20;Ongole - I                                                                                          ;563;74608.1;175.1
13-04-2022;20;Ongole - I                                                                                          ;600;83339;170.37
18-04-2022;20;Ongole - I                                                                                          ;829;109558.6;170.44
19-04-2022;20;Ongole - I                                                                                          ;535;68477.5;163.46
20-04-2022;20;Ongole - I                                                                                          ;904;115170.4;153.72
21-04-2022;20;Ongole - I                                                                                          ;836;107631.9;157.1
22-04-2022;20;Ongole - I                                                                                          ;694;89218.5;157.47
23-04-2022;20;Ongole - I                                                                                          ;844;108263.1;155.24
25-04-2022;20;Ongole - I                                                                                          ;1081;130604.1;153.78
26-04-2022;20;Ongole - I                                                                                          ;887;112248.2;146.33
27-04-2022;20;Ongole - I                                                                                          ;983;123701.7;151.54
28-04-2022;20;Ongole - I                                                                                          ;1113;138794.8;151.72
29-04-2022;20;Ongole - I                                                                                          ;994;128258;146.22
30-04-2022;20;Ongole - I                                                                                          ;1158;150021.8;145.83
04-05-2022;20;Ongole - I                                                                                          ;977;126317.6;163.92
05-05-2022;20;Ongole - I                                                                                          ;979;121019;156.55
06-05-2022;20;Ongole - I                                                                                          ;1021;128449.1;152.02
07-05-2022;20;Ongole - I                                                                                          ;1114;136419.2;152.87
09-05-2022;20;Ongole - I                                                                                          ;1066;127747.3;151.35
12-05-2022;20;Ongole - I                                                                                          ;493;61505.6;158.24
13-05-2022;20;Ongole - I                                                                                          ;480;57288.3;151.51
14-05-2022;20;Ongole - I                                                                                          ;995;115106.3;151.68
17-05-2022;20;Ongole - I                                                                                          ;827;98416.8;143.67
18-05-2022;20;Ongole - I                                                                                          ;593;69771.3;145.85
19-05-2022;20;Ongole - I                                                                                          ;843;99168.5;158.39
20-05-2022;20;Ongole - I                                                                                          ;893;107265.2;170.36
21-05-2022;20;Ongole - I                                                                                          ;844;103104.2;175.05
23-05-2022;20;Ongole - I                                                                                          ;208;25257.6;168.07
24-05-2022;20;Ongole - I                                                                                          ;835;104010.2;159.33
25-05-2022;20;Ongole - I                                                                                          ;705;84714.8;171.65
26-05-2022;20;Ongole - I                                                                                          ;920;111834.6;168.66
27-05-2022;20;Ongole - I                                                                                          ;979;106829.2;156.52
28-05-2022;20;Ongole - I                                                                                          ;992;114709.6;152.01
30-05-2022;20;Ongole - I                                                                                          ;505;57963.3;160.88
31-05-2022;20;Ongole - I                                                                                          ;800;90424;162.31
01-06-2022;20;Ongole - I                                                                                          ;700;80420.6;159.92
02-06-2022;20;Ongole - I                                                                                          ;875;98725.9;162.82
14-03-2022;22;Podili - I                                                                                          ;27;3586.9;185
15-03-2022;22;Podili - I                                                                                          ;49;6503.3;185
16-03-2022;22;Podili - I                                                                                          ;139;18473.2;183.95
17-03-2022;22;Podili - I                                                                                          ;409;52488;182.85
18-03-2022;22;Podili - I                                                                                          ;496;64629.5;183.11
19-03-2022;22;Podili - I                                                                                          ;765;100026.2;183.55
21-03-2022;22;Podili - I                                                                                          ;666;85827.9;184.02
22-03-2022;22;Podili - I                                                                                          ;745;97384.7;183.39
23-03-2022;22;Podili - I                                                                                          ;430;58909.9;183.36
24-03-2022;22;Podili - I                                                                                          ;507;66938.4;183.13
25-03-2022;22;Podili - I                                                                                          ;720;95862.2;183.24
26-03-2022;22;Podili - I                                                                                          ;190;26034.5;182.8
28-03-2022;22;Podili - I                                                                                          ;733;98484;182.79
29-03-2022;22;Podili - I                                                                                          ;812;111250.9;182.47
30-03-2022;22;Podili - I                                                                                          ;314;43575.9;181.96
31-03-2022;22;Podili - I                                                                                          ;246;33667.3;182.04
01-04-2022;22;Podili - I                                                                                          ;168;22674.7;183
04-04-2022;22;Podili - I                                                                                          ;359;49360.2;182.23
05-04-2022;22;Podili - I                                                                                          ;295;39597.9;182.89
06-04-2022;22;Podili - I                                                                                          ;434;59691.5;182.16
